	Title	Category	Links	Publication Date
6	Курс доллара на Мосбирже превысил 64 рубля впервые с октября	Финансы	https://www.vedomosti.ru/finance/news/2022/12/14/955318-kurs-dollara-previsil	Wed, 14 Dec 2022 18:32:47 +0300
84	Курс евро поднялся выше 67 рублей впервые с мая	Финансы	https://www.vedomosti.ru/finance/news/2022/12/13/955100-kurs-evro-podnyalsya	Tue, 13 Dec 2022 18:29:40 +0300
260	Курс доллара превысил 64 рубля	Культура	https://lenta.ru/news/2022/12/14/pusk/	Wed, 14 Dec 2022 18:26:00 +0300
